Id;CreationDate;PostId;RelatedPostId;LinkTypeId
19;2010-04-26 02:59:48.130;109;32412;1
37;2010-04-26 02:59:48.600;1970;617600;1
42;2010-04-26 02:59:48.647;2154;2451138;1
48;2010-04-26 02:59:48.740;2483;496096;1
52;2010-04-26 02:59:48.757;2572;209329;1
58;2010-04-26 02:59:48.943;3376;2187;1
59;2010-04-26 02:59:48.943;3376;18080;1
63;2010-04-26 02:59:49.083;3859;802573;1
69;2010-04-26 02:59:49.240;4565;583532;1
70;2010-04-26 02:59:49.240;4582;1955663;1
72;2010-04-26 02:59:49.300;4850;1369312;1
74;2010-04-26 02:59:49.333;4952;1607;1
75;2010-04-26 02:59:49.333;4952;173;1
76;2010-04-26 02:59:49.333;4952;6371;1
81;2010-04-26 02:59:49.503;5724;131955;1
84;2010-04-26 02:59:49.583;6173;1732348;1
90;2010-04-26 02:59:49.957;7470;82872;1
96;2010-04-26 02:59:50.113;8170;245395;1
119;2010-04-26 02:59:50.440;9705;305694;1
121;2010-04-26 02:59:50.440;9751;371;1
126;2010-04-26 02:59:50.487;9926;619677;1
128;2010-04-26 02:59:56.213;10199;21280;1
130;2010-04-26 02:59:56.243;10293;98915;1
131;2010-04-26 02:59:56.243;10293;109762;1
134;2010-04-26 02:59:56.290;10524;110314;1
142;2010-04-26 02:59:56.400;11028;397089;1
144;2010-04-26 02:59:56.447;11330;9410;1
149;2010-04-26 02:59:56.617;11743;52176;1
150;2010-04-26 02:59:56.650;11919;155308;1
162;2010-04-26 02:59:57.180;14279;1711;1
164;2010-04-26 02:59:57.227;14413;17370;1
166;2010-04-26 02:59:57.320;14810;81543;1
168;2010-04-26 02:59:57.397;15240;679979;1
170;2010-04-26 02:59:57.413;15266;933331;1
178;2010-04-26 02:59:57.523;15732;290326;1
184;2010-04-26 02:59:57.647;16161;86515;1
185;2010-04-26 02:59:57.680;16167;1209866;1
187;2010-04-26 02:59:57.757;16248;56227;1
197;2010-04-26 02:59:57.880;16860;1383;1
198;2010-04-26 02:59:57.943;17125;384392;1
199;2010-04-26 02:59:57.943;17125;317619;1
206;2010-04-26 02:59:58.023;17489;60784;1
211;2010-04-26 02:59:58.163;18166;28395;1
217;2010-04-26 02:59:58.303;18803;117401;1
218;2010-04-26 02:59:58.303;18803;268231;1
219;2010-04-26 03:00:03.047;20564;1711;1
220;2010-04-26 03:00:03.047;20564;921180;1
221;2010-04-26 03:00:03.077;20702;105852;1
223;2010-04-26 03:00:03.107;20791;440762;1
228;2010-04-26 03:00:03.247;21583;12374;1
229;2010-04-26 03:00:03.293;21817;370962;1
234;2010-04-26 03:00:03.497;22909;803782;1
236;2010-04-26 03:00:03.607;23569;27928;1
237;2010-04-26 03:00:03.637;23689;55434;1
244;2010-04-26 03:00:03.780;24319;1711;1
247;2010-04-26 03:00:03.950;24901;1303899;1
249;2010-04-26 03:00:04.027;25227;11598;1
250;2010-04-26 03:00:04.073;25458;224232;1
254;2010-04-26 03:00:04.230;26086;122784;1
256;2010-04-26 03:00:04.357;26323;6173;1
257;2010-04-26 03:00:04.370;26509;5010;1
258;2010-04-26 03:00:04.370;26509;34898;1
266;2010-04-26 03:00:04.463;26800;453191;1
269;2010-04-26 03:00:04.713;27578;61604;1
270;2010-04-26 03:00:04.713;27578;33497;1
275;2010-04-26 03:00:04.823;28080;301959;1
276;2010-04-26 03:00:04.823;28080;579887;1
283;2010-04-26 03:00:05.010;28950;76595;1
284;2010-04-26 03:00:05.043;29040;381049;1
287;2010-04-26 03:00:05.573;29736;138621;1
288;2010-04-26 03:00:05.573;29736;77485;1
289;2010-04-26 03:00:05.573;29736;237;1
290;2010-04-26 03:00:05.573;29736;10490;1
297;2010-04-26 03:00:06.057;30915;419096;1
309;2010-04-26 03:00:07.320;33513;10490;1
312;2010-04-26 03:00:07.617;34516;319632;1
314;2010-04-26 03:00:07.647;34655;754519;1
317;2010-04-26 03:00:07.710;34920;72312;1
318;2010-04-26 03:00:07.740;35007;923343;1
319;2010-04-26 03:00:07.757;35178;72312;1
321;2010-04-26 03:00:07.850;35563;105349;1
322;2010-04-26 03:00:07.850;35564;877943;1
327;2010-04-26 03:00:08.037;36432;20922;1
329;2010-04-26 03:00:08.070;36546;8044;1
330;2010-04-26 03:00:08.117;36772;6937;1
336;2010-04-26 03:00:08.333;37731;62605;1
338;2010-04-26 03:00:08.363;37809;25259;1
339;2010-04-26 03:00:08.380;37887;279169;1
340;2010-04-26 03:00:08.380;37887;1233655;1
349;2010-04-26 03:00:08.537;38508;61605;1
350;2010-04-26 03:00:08.553;38548;551514;1
353;2010-04-26 03:00:08.583;38652;12008;1
355;2010-04-26 03:00:08.647;38746;121392;1
357;2010-04-26 03:00:08.753;39222;556255;1
358;2010-04-26 03:00:08.770;39256;18080;1
363;2010-04-26 03:00:15.307;40122;65008;1
