Id;AcceptedAnswerId;AnswerCount;ClosedDate;CommentCount;CommunityOwnedDate;CreationDate;FavoriteCount;LastActivityDate;LastEditDate;LastEditorDisplayName;LastEditorUserId;OwnerUserId;ParentId;PostTypeId;Score;Tags;Title;ViewCount
4;7;13;NULL;1;2012-10-31 16:42:47.213;2008-07-31 21:42:52.667;41;2018-07-02 17:55:27.247;2018-07-02 17:55:27.247;Rich B;6786713;8;0;1;573;<c#><floating-point><type-conversion><double><decimal>;Convert Decimal to Double?;37080
6;31;5;NULL;0;NULL;2008-07-31 22:08:08.620;10;2016-03-19 06:10:52.170;2016-03-19 06:05:48.487;Rich B;63550;9;0;1;256;<html><css><css3><internet-explorer-7>;Percentage width child element in absolutely positioned parent on Internet Explorer 7;16306
7;0;0;NULL;0;NULL;2008-07-31 22:17:57.883;0;2017-12-16 05:06:57.613;2017-12-16 05:06:57.613;NULL;4020527;9;4;2;401;NULL;NULL;0
9;1404;64;NULL;7;2011-08-16 19:40:43.080;2008-07-31 23:40:59.743;399;2018-07-25 11:57:14.110;2018-04-21 17:48:14.477;Rich B;3956566;1;0;1;1743;<c#><.net><datetime>;How do I calculate someone's age in C#?;480476
11;1248;35;NULL;3;2009-09-04 13:15:59.820;2008-07-31 23:55:37.967;529;2018-07-05 04:00:56.633;2017-06-04 15:51:19.780;user2370523;6479704;1;0;1;1348;<c#><datetime><time><datediff><relative-time-span>;Calculate relative time in C#;136033
12;0;0;NULL;11;2009-09-04 13:15:59.820;2008-07-31 23:56:41.303;0;2018-01-12 16:10:22.637;2018-01-12 16:10:22.637;GateKiller;1271898;1;11;2;320;NULL;NULL;0
13;0;25;NULL;6;NULL;2008-08-01 00:42:38.903;137;2018-05-30 15:56:46.080;2018-05-30 15:55:48.913;Rich B;5321363;9;0;1;539;<javascript><html><browser><timezone><timezoneoffset>;Determine a User's Timezone;157009
14;0;10;NULL;3;NULL;2008-08-01 00:59:11.177;53;2018-07-17 07:14:23.037;2017-02-25 17:42:17.810;Rich B;6495084;11;0;1;373;<.net><math>;Difference between Math.Floor() and Math.Truncate();108769
16;12446;6;NULL;0;NULL;2008-08-01 04:59:33.643;13;2018-04-11 11:55:31.637;2016-11-30 08:01:28.050;Chris Fournier;2571493;2;0;1;114;<c#><linq><web-services><.net-3.5>;Filling a DataSet or DataTable from a LINQ query result set;79087
17;26;10;NULL;3;NULL;2008-08-01 05:09:55.993;19;2018-01-20 09:06:34.963;2011-10-21 21:29:17.160;NULL;546051;2;0;1;169;<mysql><database><binary-data><data-storage>;Binary Data in MySQL;65443
18;0;0;NULL;2;NULL;2008-08-01 05:12:44.193;0;2016-06-02 05:56:26.060;2016-06-02 05:56:26.060;Jeff Atwood;126039;0;17;2;56;NULL;NULL;0
19;531;23;NULL;16;NULL;2008-08-01 05:21:22.257;77;2018-06-18 10:07:01.910;2018-05-15 16:45:05.853;Chris Jester-Young;13;13;0;1;284;<performance><algorithm><language-agnostic><unix><pi>;What is the fastest way to get the value of π?;42501
21;0;0;NULL;1;2011-08-16 19:40:43.080;2008-08-01 08:57:27.280;0;2008-08-01 12:35:11.707;2008-08-01 12:35:11.707;Chris Jester-Young;13;13;9;2;33;NULL;NULL;0
22;0;0;NULL;0;2011-08-16 19:40:43.080;2008-08-01 12:07:19.500;0;2008-08-01 15:26:37.087;2008-08-01 15:26:37.087;Nick;17;17;9;2;28;NULL;NULL;0
