Id;PostId;UserId;BountyAmount;VoteTypeId;CreationDate
1;1;NULL;NULL;2;2008-07-31 00:00:00.000
2;3;NULL;NULL;2;2008-07-31 00:00:00.000
3;2;NULL;NULL;2;2008-07-31 00:00:00.000
4;4;NULL;NULL;2;2008-07-31 00:00:00.000
5;6;NULL;NULL;2;2008-07-31 00:00:00.000
6;7;NULL;NULL;2;2008-07-31 00:00:00.000
7;13;NULL;NULL;2;2008-08-01 00:00:00.000
9;4;NULL;NULL;2;2008-08-01 00:00:00.000
10;12;NULL;NULL;2;2008-08-01 00:00:00.000
11;13;NULL;NULL;2;2008-08-01 00:00:00.000
16;19;NULL;NULL;2;2008-08-01 00:00:00.000
19;15;NULL;NULL;2;2008-08-01 00:00:00.000
20;15;NULL;NULL;3;2008-08-01 00:00:00.000
26;15;NULL;NULL;3;2008-08-01 00:00:00.000
27;22;NULL;NULL;3;2008-08-01 00:00:00.000
32;25;NULL;NULL;2;2008-08-01 00:00:00.000
33;35;NULL;NULL;3;2008-08-01 00:00:00.000
34;7;NULL;NULL;2;2008-08-01 00:00:00.000
35;15;NULL;NULL;2;2008-08-01 00:00:00.000
37;7;NULL;NULL;2;2008-08-01 00:00:00.000
40;43;NULL;NULL;2;2008-08-01 00:00:00.000
42;41;NULL;NULL;2;2008-08-01 00:00:00.000
43;33;NULL;NULL;2;2008-08-01 00:00:00.000
44;9;NULL;NULL;2;2008-08-01 00:00:00.000
45;10;NULL;NULL;2;2008-08-01 00:00:00.000
46;7;NULL;NULL;2;2008-08-01 00:00:00.000
47;28;NULL;NULL;2;2008-08-01 00:00:00.000
48;12;NULL;NULL;2;2008-08-01 00:00:00.000
49;42;NULL;NULL;2;2008-08-01 00:00:00.000
50;12;NULL;NULL;3;2008-08-01 00:00:00.000
51;15;NULL;NULL;3;2008-08-01 00:00:00.000
53;57;NULL;NULL;3;2008-08-01 00:00:00.000
57;36;NULL;NULL;2;2008-08-01 00:00:00.000
60;46;NULL;NULL;3;2008-08-01 00:00:00.000
65;69;NULL;NULL;2;2008-08-01 00:00:00.000
66;63;NULL;NULL;2;2008-08-01 00:00:00.000
68;68;NULL;NULL;2;2008-08-01 00:00:00.000
73;66;NULL;NULL;3;2008-08-01 00:00:00.000
74;9;NULL;NULL;2;2008-08-01 00:00:00.000
75;71;NULL;NULL;2;2008-08-01 00:00:00.000
78;66;NULL;NULL;2;2008-08-01 00:00:00.000
